"Entity","Code","Year","disr","homi","educ","fom","drogas","disr_log","homi_log","educ_log","fom_log","drogas_log"
"France","FRA",2009,29.39,1.3064801206607,498.22689391511,2.5,2.714124289,3.38065448043083,0.267336590141913,6.21105558353711,0.916290731874155,0.998469355868885
"France","FRA",2012,30.3,1.23193206246656,498.970894151481,2.5,2.728807329,3.41114771251532,0.208583719489018,6.21254776569661,0.916290731874155,1.00386463791465
"Germany","DEU",2000,25.5,1.24558588598776,487.105835740655,2.5,3.19169209,3.23867845216438,0.219606010378207,6.18848142132101,0.916290731874155,1.16055121190212
"Germany","DEU",2003,26.9,1.05158141501848,502.33647629,2.5,3.073298123,3.29212628660779,0.0502951406653838,6.21927016665414,0.916290731874155,1.12275129211025
"Germany","DEU",2006,28.5,0.990920409677402,515.64913003029,2.5,3.016438599,3.3499040872746,-0.00912106101828782,6.24542655362847,0.916290731874155,1.10407686364427
"Germany","DEU",2009,28.3,0.991779077764521,520.405349483897,2.5,3.05673985,3.34286180464919,-0.00825490036586302,6.25460802614719,0.916290731874155,1.11734893951649
"Germany","DEU",2012,28.8,0.812915583046494,524.120799257005,2.5,2.987375724,3.3603753871419,-0.207128008716589,6.26172219068562,0.916290731874155,1.09439531773129
"Iceland","ISL",2003,24.1,0,494.74524952,2.5,2.031684136,3.18221184049661,-Inf,6.2040429826579,0.916290731874155,0.708865072751538
"Iceland","ISL",2006,28,0,490.793774071948,2.5,2.060725545,3.3322045101752,-Inf,6.19602402749132,0.916290731874155,0.723058127102087
"Iceland","ISL",2009,25.7,0.316369595616383,495.598498280332,2.5,2.065813518,3.24649099190117,-1.15084414247094,6.20576611964614,0.916290731874155,0.725524104280865
"Iceland","ISL",2012,24,0.307195124198989,478.15459619459,2.5,2.087559434,3.17805383034795,-1.18027214958266,6.16993410320275,0.916290731874155,0.735995648714817
"Indonesia","IDN",2009,37,0.547755235953026,382.569451693209,14.8,1.246751321,3.61091791264422,-0.601926741532575,5.94691020983834,2.69462718077007,0.220541224998376
"Indonesia","IDN",2012,41,0.585013296516497,381.911484865957,8.5,1.26784125,3.71357206670431,-0.536120702920553,5.94518886674592,2.14006616349627,0.237315651016332
"Indonesia","IDN",2015,41,0.57754407983173,403.0997,7.3,1.289493472,3.71357206670431,-0.548970510786124,5.99918392589064,1.98787434815435,0.254249483899151
"Italy","ITA",2000,33.3,1.33697024146852,477.603320130052,2.5,2.018339028,3.5055573969864,0.290406040182138,6.16878051375032,0.916290731874155,0.702274909802825
"Italy","ITA",2006,33.8,1.05788995571402,475.39722060224,2.5,1.968936072,3.52046080248897,0.0562763164140673,6.16415070846862,0.916290731874155,0.677493331887661
"Italy","ITA",2012,35,0.887269348891953,493.541481804953,2.5,1.792858297,3.55534806148941,-0.119606679981901,6.20160691168336,0.916290731874155,0.583811160267292
"Japan","JPN",2000,24.56,0.531623214884911,550.40377464268,2.5,1.503134903,3.20111910327894,-0.631820283260371,6.31065214459467,0.916290731874155,0.407552862564715
"Japan","JPN",2003,25.22,0.544242996799023,547.63823436,2.5,1.497507564,3.22763733053677,-0.608359446568049,6.30561491267154,0.916290731874155,0.403802102079853
"Japan","JPN",2006,24.78,0.481963380842776,531.388508788485,2.5,1.502623407,3.210036876201,-0.729887141172895,6.27549340868183,0.916290731874155,0.407212518496973
"Malaysia","MYS",2009,44.1,2.03221234061487,422.231640353482,4,1.441547871,3.7864597824528,0.709125022590754,6.04555407422983,1.38629436111989,0.365717446702036
"Malaysia","MYS",2012,43.1,2.06373187995416,419.502648533661,3.4,1.441227085,3.7635229971097,0.72451593605819,6.03906983943599,1.22377543162212,0.365494893081847
"Netherlands","NLD",2003,26.6,1.24684038609832,524.36870636,2.5,1.770384283,3.28091121578765,0.22061266018811,6.26219507497543,0.916290731874155,0.571196632060529
"Netherlands","NLD",2006,27.6,0.77857829413739,524.861505727814,2.5,1.746958625,3.3178157727231,-0.250285722260925,6.26313442917696,0.916290731874155,0.557876347414107
"Netherlands","NLD",2009,25.5,0.926208488568482,522.218128201078,2.5,1.761466346,3.23867845216438,-0.0766559200363453,6.25808537071624,0.916290731874155,0.56614661330867
"Netherlands","NLD",2012,25.1,0.863655843272076,522.055821725803,2.5,1.79682387,3.22286784613774,-0.146580919078577,6.2577745203372,0.916290731874155,0.586020589642207
"New Zealand","NZL",2009,32.9,1.54967685768092,532.006901380284,2.5,3.651152104,3.49347265777133,0.43804643028087,6.27665646177683,0.916290731874155,1.29504276272053
"New Zealand","NZL",2012,32.4,0.917689312030705,515.636318700572,2.5,3.688393248,3.47815842279828,-0.0858963856991049,6.24540170826731,0.916290731874155,1.30519092907712
"Norway","NOR",2000,26.2,1.06681673222033,500.338980779372,2.5,3.14697153,3.26575941076705,0.064679197698719,6.21528583026882,0.916290731874155,1.14644057133019
"Norway","NOR",2003,27.4,1.11594785766457,484.1812491,2.5,3.005502722,3.31054301339402,0.109704140344801,6.18245931822746,0.916290731874155,1.1004448491696
